Montgomery,AL,32.361538,-86.279118
Juneau,AK,58.301935,-134.419740
Phoenix,AZ,33.448457,-112.073844
Little Rock,AR,34.736009,-92.331122
Sacramento,CA,38.555605,-121.468926
Denver,CO,39.7391667,-104.984167
Hartford,CT,41.767,-72.677
Dover,DE,39.161921,-75.526755
Tallahassee,FL,30.4518,-84.27277
Atlanta,GA,33.76,-84.39
Honolulu,HI,21.30895,-157.826182
Boise,ID,43.613739,-116.237651
Springfield,IL,39.783250,-89.650373
Indianapolis,IN,39.790942,-86.147685
Des Moines,IA,41.590939,-93.620866
Topeka,KS,39.04,-95.69
Frankfort,KY,38.197274,-84.86311
Baton Rouge,LA,30.45809,-91.140229
Augusta,ME,44.323535,-69.765261
Annapolis,MD,38.972945,-76.501157
Boston,MA,42.2352,-71.0275
Lansing,MI,42.7335,-84.5467
Saint Paul,MN,44.95,-93.094
Jackson,MS,32.320,-90.207
Helena,MT,46.595805,-112.027031
Jefferson City,MO,38.572954,-92.189283
Lincoln,NE,40.809868,-96.675345
Carson City,NV,39.160949,-119.753877
Concord,NH,43.220093,-71.549127
Trenton,NJ,40.221741,-74.756138
Santa Fe,NM,35.667231,-105.964575
Albany,NY,42.659829,-73.781339
Raleigh,NC,35.771,-78.638
Bismarck,ND,48.813343,-100.779004
Columbus,OH,39.962245,-83.000647
Oklahoma City,OK,35.482309,-97.534994
Salem,OR,44.931109,-123.029159
Harrisburg,PA,40.269789,-76.875613
Providence,RI,41.82355,-71.422132
Columbia,SC,34.000,-81.035
Pierre,SD,44.367966,-100.336378
Nashville,TN,36.165,-86.784
Austin,TX,30.266667,-97.75
Salt Lake City,UT,40.7547,-111.892622
Montpelier,VT,44.26639,-72.57194
Richmond,VA,37.54,-77.46
Olympia,WA,47.042418,-122.893077
Charleston,WV,38.349497,-81.633294
Madison,WI,43.074722,-89.384444
Cheyenne,WY,41.145548,-104.802042